episode,total_reward,collision,success,rolling_reward,rolling_collision
0,0.0,0,0,,
1,-230.0,1,0,,
2,-200.0,0,0,,
3,-28.0,1,0,,
4,-200.0,0,0,,
5,-200.0,0,0,,
6,-200.0,0,0,,
7,-250.0,1,0,,
8,-200.0,0,0,,
9,-354.0,1,0,,
10,-200.0,0,0,,
11,100.0,0,0,,
12,300.0,0,0,,
13,-200.0,0,0,,
14,-200.0,0,0,,
15,0.0,0,0,,
16,-304.0,1,0,,
17,-200.0,0,0,,
18,-200.0,0,0,,
19,-200.0,0,0,-148.3,0.25
20,-310.0,1,0,-163.8,0.3
21,-210.0,1,0,-162.8,0.3
22,-254.0,1,0,-165.5,0.35
23,-216.0,1,0,-174.9,0.35
24,1300.0,0,0,-99.9,0.35
25,-200.0,0,0,-99.9,0.35
26,-210.0,1,0,-100.4,0.4
27,-200.0,0,0,-97.9,0.35
28,-374.0,1,0,-106.6,0.4
29,-100.0,0,0,-93.9,0.35
30,-230.0,1,0,-95.4,0.4
31,-220.0,1,0,-111.4,0.45
32,-352.0,1,0,-144.0,0.5
33,-214.0,1,0,-144.7,0.55
34,500.0,0,0,-109.7,0.55
35,0.0,0,0,-109.7,0.55
36,-200.0,0,0,-104.5,0.5
37,300.0,0,0,-79.5,0.5
38,-86.0,1,0,-73.8,0.55
39,-200.0,0,0,-73.8,0.55
40,-200.0,0,0,-68.3,0.5
41,-242.0,1,0,-69.9,0.5
42,1600.0,0,0,22.8,0.45
43,-250.0,1,0,21.1,0.45
44,900.0,0,0,1.1,0.45
45,-200.0,0,0,1.1,0.45
46,0.0,0,0,11.6,0.4
47,-208.0,1,0,11.2,0.45
48,300.0,0,0,44.9,0.4
49,-304.0,1,0,34.7,0.45
50,300.0,0,0,61.2,0.4
51,-200.0,0,0,62.2,0.35
52,-200.0,0,0,69.8,0.3
53,-200.0,0,0,70.5,0.25
54,3200.0,0,0,205.5,0.25
55,-232.0,1,0,193.9,0.3
56,1900.0,0,0,298.9,0.3
57,-248.0,1,0,271.5,0.35
58,100.0,0,0,280.8,0.3
59,608.0,1,0,321.2,0.35
60,-246.0,1,0,318.9,0.4
61,3000.0,0,0,481.0,0.35
62,1400.0,0,0,471.0,0.35
63,256.0,1,0,496.3,0.35
64,914.0,0,1,497.0,0.35
65,1700.0,0,0,592.0,0.35
66,1100.0,0,0,647.0,0.35
67,1200.0,0,0,717.4,0.3
68,-200.0,0,0,692.4,0.3
69,270.0,0,1,721.1,0.25
70,900.0,0,0,751.1,0.25
71,1100.0,0,0,816.1,0.25
72,-202.0,1,0,816.0,0.3
73,500.0,0,0,851.0,0.3
74,900.0,0,0,736.0,0.3
75,600.0,0,0,777.6,0.25
76,-258.0,1,0,669.7,0.3
77,-200.0,0,0,672.1,0.25
78,1116.0,0,1,722.9,0.25
79,2500.0,0,0,817.5,0.2
80,454.0,0,1,852.5,0.15
81,2100.0,0,0,807.5,0.15
82,-310.0,1,0,722.0,0.2
83,700.0,0,0,744.2,0.15
84,-222.0,1,0,687.4,0.2
85,-200.0,0,0,592.4,0.2
86,580.0,0,1,566.4,0.2
87,1100.0,0,0,561.4,0.2
88,3500.0,0,0,746.4,0.2
89,100.0,0,0,737.9,0.2
90,4000.0,0,0,892.9,0.2
91,5100.0,0,0,1092.9,0.2
92,2700.0,0,0,1238.0,0.15
93,2700.0,0,0,1348.0,0.15
94,870.0,0,1,1346.5,0.15
95,700.0,0,0,1351.5,0.15
96,1164.0,0,1,1422.6,0.1
97,4500.0,0,0,1657.6,0.1
98,-314.0,1,0,1586.1,0.15
99,-100.0,0,0,1456.1,0.15
100,-202.0,1,0,1423.3,0.2
101,3766.0,0,1,1506.6,0.2
102,-204.0,1,0,1511.9,0.2
103,5000.0,0,0,1726.9,0.2
104,4400.0,0,0,1958.0,0.15
105,6300.0,0,0,2283.0,0.15
106,4500.0,0,0,2479.0,0.15
107,7600.0,0,0,2804.0,0.15
108,866.0,0,1,2672.3,0.15
109,-312.0,1,0,2651.7,0.2
110,-200.0,0,0,2441.7,0.2
111,5700.0,0,0,2471.7,0.2
112,300.0,0,0,2351.7,0.2
113,1100.0,0,0,2271.7,0.2
114,-208.0,1,0,2217.8,0.25
115,388.0,0,1,2202.2,0.25
116,2900.0,0,0,2289.0,0.25
117,868.0,0,1,2107.4,0.25
118,5500.0,0,0,2398.1,0.2
