episode,total_reward,collision,success,steps
0,0.0,0,0,100
1,-230.0,1,0,15
2,-200.0,0,0,100
3,-28.0,1,0,64
4,-200.0,0,0,100
5,-200.0,0,0,100
6,-200.0,0,0,100
7,-250.0,1,0,25
8,-200.0,0,0,100
9,-354.0,1,0,77
10,-200.0,0,0,100
11,100.0,0,0,100
12,300.0,0,0,100
13,-200.0,0,0,100
14,-200.0,0,0,100
15,0.0,0,0,100
16,-304.0,1,0,52
17,-200.0,0,0,100
18,-200.0,0,0,100
19,-200.0,0,0,100
20,-310.0,1,0,55
21,-210.0,1,0,5
22,-254.0,1,0,27
23,-216.0,1,0,8
24,1300.0,0,0,100
25,-200.0,0,0,100
26,-210.0,1,0,5
27,-200.0,0,0,100
28,-374.0,1,0,87
29,-100.0,0,0,100
30,-230.0,1,0,15
31,-220.0,1,0,10
32,-352.0,1,0,76
33,-214.0,1,0,7
34,500.0,0,0,100
35,0.0,0,0,100
36,-200.0,0,0,100
37,300.0,0,0,100
38,-86.0,1,0,43
39,-200.0,0,0,100
40,-200.0,0,0,100
41,-242.0,1,0,21
42,1600.0,0,0,100
43,-250.0,1,0,25
44,900.0,0,0,100
45,-200.0,0,0,100
46,0.0,0,0,100
47,-208.0,1,0,4
48,300.0,0,0,100
49,-304.0,1,0,52
50,300.0,0,0,100
51,-200.0,0,0,100
52,-200.0,0,0,100
53,-200.0,0,0,100
54,3200.0,0,0,100
55,-232.0,1,0,16
56,1900.0,0,0,100
57,-248.0,1,0,74
58,100.0,0,0,100
59,608.0,1,0,46
60,-246.0,1,0,23
61,3000.0,0,0,100
62,1400.0,0,0,100
63,256.0,1,0,22
64,914.0,0,1,43
65,1700.0,0,0,100
66,1100.0,0,0,100
67,1200.0,0,0,100
68,-200.0,0,0,100
69,270.0,0,1,15
70,900.0,0,0,100
71,1100.0,0,0,100
72,-202.0,1,0,1
73,500.0,0,0,100
74,900.0,0,0,100
75,600.0,0,0,100
76,-258.0,1,0,29
77,-200.0,0,0,100
78,1116.0,0,1,42
79,2500.0,0,0,100
80,454.0,0,1,23
81,2100.0,0,0,100
82,-310.0,1,0,55
83,700.0,0,0,100
84,-222.0,1,0,11
85,-200.0,0,0,100
86,580.0,0,1,60
87,1100.0,0,0,100
88,3500.0,0,0,100
89,100.0,0,0,100
90,4000.0,0,0,100
91,5100.0,0,0,100
92,2700.0,0,0,100
93,2700.0,0,0,100
94,870.0,0,1,65
95,700.0,0,0,100
96,1164.0,0,1,18
97,4500.0,0,0,100
98,-314.0,1,0,57
99,-100.0,0,0,100
100,-202.0,1,0,1
101,3766.0,0,1,67
102,-204.0,1,0,2
103,5000.0,0,0,100
104,4400.0,0,0,100
105,6300.0,0,0,100
106,4500.0,0,0,100
107,7600.0,0,0,100
108,866.0,0,1,67
109,-312.0,1,0,56
110,-200.0,0,0,100
111,5700.0,0,0,100
112,300.0,0,0,100
113,1100.0,0,0,100
114,-208.0,1,0,4
115,388.0,0,1,6
116,2900.0,0,0,100
117,868.0,0,1,16
118,5500.0,0,0,100
119,6500.0,0,0,100
120,778.0,1,0,11
121,200.0,0,0,100
122,7200.0,0,0,100
123,3878.0,0,1,61
124,1238.0,0,1,81
125,-200.0,0,0,100
126,9500.0,0,0,100
127,-200.0,0,0,100
128,8400.0,0,0,100
129,2310.0,0,1,45
130,-6.0,1,0,3
131,6900.0,0,0,100
132,-200.0,0,0,100
133,-200.0,0,0,100
134,5700.0,0,0,100
135,900.0,0,0,100
136,9200.0,0,0,100
137,8800.0,0,0,100
138,100.0,0,0,100
139,-200.0,0,0,100
140,1224.0,0,1,88
141,-200.0,0,0,100
142,284.0,0,1,8
143,9500.0,0,0,100
144,8600.0,0,0,100
145,7900.0,0,0,100
146,-100.0,0,0,100
147,-200.0,0,0,100
148,3700.0,0,0,100
149,9400.0,0,0,100
150,198.0,0,1,1
151,1900.0,0,0,100
152,4600.0,0,0,100
153,-200.0,0,0,100
154,-200.0,0,0,100
155,-200.0,0,0,100
156,542.0,1,0,29
157,1776.0,0,1,62
158,1224.0,0,1,88
159,-206.0,1,0,3
160,5478.0,0,1,61
161,-200.0,0,0,100
162,3900.0,0,0,100
163,1900.0,0,0,100
164,5020.0,0,1,90
165,6600.0,0,0,100
166,-342.0,1,0,71
167,9700.0,0,0,100
168,9000.0,0,0,100
169,2700.0,0,0,100
170,8100.0,0,0,100
171,-222.0,1,0,11
172,7600.0,0,0,100
173,9300.0,0,0,100
174,4994.0,0,1,53
175,8300.0,0,0,100
176,1470.0,0,1,15
177,2000.0,0,0,100
178,9400.0,0,0,100
179,6764.0,0,1,68
180,-200.0,0,0,100
181,-200.0,0,0,100
182,-378.0,1,0,89
183,-200.0,0,0,100
184,2400.0,0,0,100
185,2400.0,0,0,100
186,-200.0,0,0,100
187,9200.0,0,0,100
188,6900.0,0,0,100
189,-200.0,0,0,100
190,3500.0,0,0,100
191,9500.0,0,0,100
192,4800.0,0,0,100
193,-204.0,1,0,2
194,390.0,0,1,5
195,484.0,0,1,8
196,-236.0,1,0,18
197,9000.0,0,0,100
198,5168.0,0,1,66
199,8500.0,0,0,100
