episode,total_reward,collision,success,rolling_reward,rolling_collision
170,2114.0,0,1,2772.6,0.1
171,184.0,0,1,2666.6,0.1
172,2688.0,0,1,2682.1,0.1
173,-248.0,1,0,2605.5,0.15
174,9300.0,0,0,3070.9,0.1
175,4600.0,0,0,2975.9,0.1
176,374.0,0,1,2599.6,0.1
177,376.0,0,1,2423.4,0.1
178,2776.0,0,1,2337.2,0.1
179,3200.0,0,0,2292.2,0.1
180,2700.0,0,0,2403.0,0.1
181,4300.0,0,0,2588.9,0.1
182,4400.0,0,0,2348.9,0.1
183,2700.0,0,0,2474.5,0.1
184,964.0,0,1,2508.2,0.1
185,8700.0,0,0,2928.8,0.1
186,4600.0,0,0,3169.5,0.05
187,-210.0,1,0,2709.0,0.1
188,564.0,0,1,2718.7,0.1
189,8900.0,0,0,3149.1,0.1
190,8200.0,0,0,3453.4,0.1
191,2390.0,1,0,3563.7,0.15
192,8800.0,0,0,3869.3,0.15
193,4500.0,0,0,4106.7,0.1
194,8700.0,0,0,4076.7,0.1
195,9100.0,0,0,4301.7,0.1
196,8700.0,0,0,4718.0,0.1
197,-202.0,1,0,4689.1,0.15
198,188.0,0,1,4559.7,0.15
199,3100.0,0,0,4554.7,0.15
200,8000.0,0,0,4819.7,0.15
201,286.0,0,1,4619.0,0.15
202,6900.0,0,0,4744.0,0.15
203,290.0,0,1,4623.5,0.15
204,294.0,0,1,4590.0,0.15
205,8600.0,0,0,4585.0,0.15
206,4100.0,0,0,4560.0,0.15
207,8500.0,0,0,4995.5,0.1
208,-12.0,1,0,4966.7,0.15
209,1056.0,0,1,4574.5,0.15
210,2096.0,0,1,4269.3,0.15
211,1024.0,1,0,4201.0,0.15
212,378.0,1,0,3779.9,0.2
213,84.0,1,0,3559.1,0.25
214,8800.0,0,0,3564.1,0.25
215,9000.0,0,0,3559.1,0.25
216,9400.0,0,0,3594.1,0.25
217,8600.0,0,0,4034.2,0.2
218,4100.0,0,0,4229.8,0.2
219,3800.0,0,0,4264.8,0.2
220,644.0,1,0,3897.0,0.25
221,5900.0,0,0,4177.7,0.25
222,198.0,0,1,3842.6,0.25
223,6800.0,0,0,4168.1,0.25
224,4500.0,0,0,4378.4,0.25
225,3800.0,0,0,4138.4,0.25
226,482.0,0,1,3957.5,0.25
227,1728.0,0,1,3618.9,0.25
228,2488.0,0,1,3743.9,0.2
229,4700.0,0,0,3926.1,0.2
230,500.0,0,1,3846.3,0.2
231,4300.0,0,0,4010.1,0.15
232,8700.0,0,0,4426.2,0.1
233,4600.0,0,0,4652.0,0.05
234,4100.0,0,0,4417.0,0.05
235,6924.0,1,0,4313.2,0.1
236,3450.0,0,1,4015.7,0.1
237,4000.0,0,0,3785.7,0.1
238,4600.0,0,0,3810.7,0.1
239,2500.0,0,0,3745.7,0.1
240,5900.0,0,0,4008.5,0.05
241,266.0,0,1,3726.8,0.05
242,9000.0,0,0,4166.9,0.05
243,7800.0,0,0,4216.9,0.05
244,9000.0,0,0,4441.9,0.05
245,9200.0,0,0,4711.9,0.05
246,4500.0,0,0,4912.8,0.05
247,2110.0,0,1,4931.9,0.05
248,4400.0,0,0,5027.5,0.05
249,292.0,0,1,4807.1,0.05
250,6700.0,0,0,5117.1,0.05
251,4700.0,0,0,5137.1,0.05
252,3358.0,0,1,4870.0,0.05
253,8100.0,0,0,5045.0,0.05
254,4000.0,0,0,5040.0,0.05
255,-220.0,1,0,4682.8,0.05
256,-200.0,0,0,4500.3,0.05
257,9200.0,0,0,4760.3,0.05
258,-206.0,1,0,4520.0,0.1
259,2764.0,0,1,4533.2,0.1
260,774.0,0,1,4276.9,0.1
261,560.0,0,1,4291.6,0.1
262,674.0,0,1,3875.3,0.1
263,8600.0,0,0,3915.3,0.1
264,292.0,0,1,3479.9,0.1
265,8700.0,0,0,3454.9,0.1
266,-210.0,1,0,3219.4,0.15
267,4200.0,0,0,3323.9,0.15
268,4600.0,0,0,3333.9,0.15
269,1800.0,0,0,3409.3,0.15
270,8600.0,0,0,3504.3,0.15
271,-200.0,0,0,3259.3,0.15
272,9500.0,0,0,3566.4,0.15
273,9300.0,0,0,3626.4,0.15
274,8600.0,0,0,3856.4,0.15
275,2882.0,0,1,4011.5,0.1
276,9600.0,0,0,4501.5,0.1
277,5200.0,0,0,4301.5,0.1
278,278.0,0,1,4325.7,0.05
279,564.0,0,1,4215.7,0.05
280,7800.0,0,0,4567.0,0.05
281,4200.0,0,0,4749.0,0.05
282,4400.0,0,0,4935.3,0.05
283,8500.0,0,0,4930.3,0.05
284,4500.0,0,0,5140.7,0.05
285,-200.0,0,0,4695.7,0.05
286,574.0,0,1,4734.9,0.0
287,1600.0,0,0,4604.9,0.0
288,286.0,0,1,4389.2,0.0
289,6000.0,0,0,4599.2,0.0
290,9200.0,0,0,4629.2,0.0
291,190.0,0,1,4648.7,0.0
292,486.0,0,1,4198.0,0.0
293,6600.0,0,0,4063.0,0.0
294,3700.0,0,0,3818.0,0.0
295,-112.0,1,0,3668.3,0.05
296,4100.0,0,0,3393.3,0.05
297,-200.0,0,0,3123.3,0.05
298,8800.0,0,0,3549.4,0.05
299,480.0,0,1,3545.2,0.05
