episode,total_reward,collision,success,rolling_reward,rolling_collision
0,-200.0,0,0,,
1,100.0,0,0,,
2,100.0,0,0,,
3,-200.0,0,0,,
4,-200.0,0,0,,
5,400.0,0,0,,
6,-308.0,1,0,,
7,-200.0,0,0,,
8,-368.0,1,0,,
9,500.0,0,0,,
10,-200.0,0,0,,
11,0.0,0,0,,
12,-200.0,0,0,,
13,-100.0,0,0,,
14,-308.0,1,0,,
15,-212.0,1,0,,
16,-200.0,0,0,,
17,-226.0,1,0,,
18,-200.0,0,0,,
19,300.0,0,0,-86.1,0.25
20,400.0,0,0,-56.1,0.25
21,-258.0,1,0,-74.0,0.3
22,-200.0,0,0,-89.0,0.3
23,-362.0,1,0,-97.1,0.35
24,-200.0,0,0,-97.1,0.35
25,-200.0,0,0,-127.1,0.35
26,0.0,0,0,-111.7,0.3
27,-200.0,0,0,-111.7,0.3
28,-200.0,0,0,-103.3,0.25
29,-200.0,0,0,-138.3,0.25
30,700.0,0,0,-93.3,0.25
31,-256.0,1,0,-106.1,0.3
32,-246.0,1,0,-108.4,0.35
33,800.0,0,0,-63.4,0.35
34,-200.0,0,0,-58.0,0.3
35,800.0,0,0,-7.4,0.25
36,-200.0,0,0,-7.4,0.25
37,-206.0,1,0,-6.4,0.25
38,200.0,0,0,13.6,0.25
39,-210.0,1,0,-11.9,0.3
40,918.0,0,1,14.0,0.3
41,148.0,1,0,34.3,0.3
42,-226.0,1,0,33.0,0.35
43,1000.0,0,0,101.1,0.3
44,-200.0,0,0,101.1,0.3
45,-290.0,1,0,96.6,0.35
46,-200.0,0,0,86.6,0.35
47,-200.0,0,0,86.6,0.35
48,-298.0,1,0,81.7,0.4
49,700.0,0,0,126.7,0.4
50,4500.0,0,0,316.7,0.4
51,1700.0,0,0,414.5,0.35
52,800.0,0,0,466.8,0.3
53,1528.0,1,0,503.2,0.35
54,-200.0,0,0,503.2,0.35
55,-200.0,0,0,453.2,0.35
56,-16.0,1,0,462.4,0.4
57,-166.0,1,0,464.4,0.4
58,1300.0,0,0,519.4,0.4
59,-100.0,0,0,524.9,0.35
60,2968.0,0,1,627.4,0.35
61,2500.0,0,0,745.0,0.3
62,-254.0,1,0,743.6,0.3
63,700.0,0,0,728.6,0.3
64,2518.0,1,0,864.5,0.35
65,-200.0,0,0,869.0,0.3
66,-212.0,1,0,868.4,0.35
67,2500.0,0,0,1003.4,0.35
68,3100.0,0,0,1173.3,0.3
69,300.0,0,0,1153.3,0.3
70,3200.0,0,0,1088.3,0.3
71,2004.0,0,1,1103.5,0.3
72,3000.0,0,0,1213.5,0.3
73,3100.0,0,0,1292.1,0.25
74,3932.0,0,1,1498.7,0.25
75,-218.0,1,0,1497.8,0.3
76,800.0,0,0,1538.6,0.25
77,-208.0,1,0,1536.5,0.25
78,3700.0,0,0,1656.5,0.25
79,4500.0,0,0,1886.5,0.25
80,3370.0,0,1,1906.6,0.25
81,5500.0,0,0,2056.6,0.25
82,-200.0,0,0,2059.3,0.2
83,-200.0,0,0,2014.3,0.2
84,1500.0,0,0,1963.4,0.15
85,200.0,0,0,1983.4,0.15
86,4400.0,0,0,2214.0,0.1
87,7508.0,0,1,2464.4,0.1
88,700.0,0,0,2344.4,0.1
89,1800.0,0,0,2419.4,0.1
90,-200.0,0,0,2249.4,0.1
91,-200.0,0,0,2139.2,0.1
92,2000.0,0,0,2089.2,0.1
93,2100.0,0,0,2039.2,0.1
94,1396.0,0,1,1912.4,0.1
95,-200.0,0,0,1913.3,0.05
96,2500.0,0,0,1998.3,0.05
97,-200.0,0,0,1998.7,0.0
98,-200.0,0,0,1803.7,0.0
99,2000.0,0,0,1678.7,0.0
100,4400.0,0,0,1730.2,0.0
101,8000.0,0,0,1855.2,0.0
102,816.0,1,0,1906.0,0.05
103,-200.0,0,0,1906.0,0.05
104,-200.0,0,0,1821.0,0.05
105,-312.0,1,0,1795.4,0.1
106,4402.0,0,1,1795.5,0.1
107,8300.0,0,0,1835.1,0.1
108,9300.0,0,0,2265.1,0.1
109,9300.0,0,0,2640.1,0.1
110,-200.0,0,0,2640.1,0.1
111,3100.0,0,0,2805.1,0.1
112,-200.0,0,0,2695.1,0.1
113,1300.0,0,0,2655.1,0.1
114,600.0,0,0,2615.3,0.1
115,-200.0,0,0,2615.3,0.1
116,-200.0,0,0,2480.3,0.1
117,-200.0,0,0,2480.3,0.1
118,2600.0,0,0,2620.3,0.1
119,-200.0,0,0,2510.3,0.1
120,5800.0,0,0,2580.3,0.1
121,-200.0,0,0,2170.3,0.1
122,7200.0,0,0,2489.5,0.05
123,5200.0,0,0,2759.5,0.05
124,2292.0,0,1,2884.1,0.05
125,-200.0,0,0,2889.7,0.0
126,8900.0,0,0,3114.6,0.0
127,-200.0,0,0,2689.6,0.0
128,1764.0,0,1,2312.8,0.0
129,-200.0,0,0,1837.8,0.0
130,400.0,0,0,1867.8,0.0
131,7700.0,0,0,2097.8,0.0
132,-200.0,0,0,2097.8,0.0
133,5100.0,0,0,2287.8,0.0
134,1800.0,0,0,2347.8,0.0
135,3498.0,0,1,2532.7,0.0
136,-200.0,0,0,2532.7,0.0
137,1300.0,0,0,2607.7,0.0
138,-200.0,0,0,2467.7,0.0
139,8700.0,0,0,2912.7,0.0
140,-200.0,0,0,2612.7,0.0
141,3500.0,0,0,2797.7,0.0
142,3192.0,0,1,2597.3,0.0
143,-200.0,0,0,2327.3,0.0
144,9600.0,0,0,2692.7,0.0
145,-200.0,0,0,2692.7,0.0
146,-200.0,0,0,2237.7,0.0
147,7200.0,0,0,2607.7,0.0
148,5100.0,0,0,2774.5,0.0
149,1600.0,0,0,2864.5,0.0
150,-200.0,0,0,2834.5,0.0
151,0.0,0,0,2449.5,0.0
152,-200.0,0,0,2449.5,0.0
153,4580.0,0,1,2423.5,0.0
154,-200.0,0,0,2323.5,0.0
155,-200.0,0,0,2138.6,0.0
156,-204.0,1,0,2138.4,0.05
157,5600.0,0,0,2353.4,0.05
158,7700.0,0,0,2748.4,0.05
159,-202.0,1,0,2303.3,0.1
160,2400.0,0,0,2433.3,0.1
161,-200.0,0,0,2248.3,0.1
162,8500.0,0,0,2513.7,0.1
163,3818.0,0,1,2714.6,0.1
164,-260.0,1,0,2221.6,0.15
165,-274.0,1,0,2217.9,0.2
166,-200.0,0,0,2217.9,0.2
167,4000.0,0,0,2057.9,0.2
168,6000.0,0,0,2102.9,0.2
169,8600.0,0,0,2452.9,0.2
170,-200.0,0,0,2452.9,0.2
171,3700.0,0,0,2637.9,0.2
172,-200.0,0,0,2637.9,0.2
173,3800.0,0,0,2598.9,0.2
174,9300.0,0,0,3073.9,0.2
175,4500.0,0,0,3308.9,0.2
176,1400.0,0,0,3389.1,0.15
177,-200.0,0,0,3099.1,0.15
178,4600.0,0,0,2944.1,0.15
179,1952.0,0,1,3051.8,0.1
180,-200.0,0,0,2921.8,0.1
181,4600.0,0,0,3161.8,0.1
182,-200.0,0,0,2726.8,0.1
183,1056.0,1,0,2588.7,0.15
184,-200.0,0,0,2591.7,0.1
185,-200.0,0,0,2595.4,0.05
186,-200.0,0,0,2595.4,0.05
187,-200.0,0,0,2385.4,0.05
188,9000.0,0,0,2535.4,0.05
189,-200.0,0,0,2095.4,0.05
190,9400.0,0,0,2575.4,0.05
191,8900.0,0,0,2835.4,0.05
192,2500.0,0,0,2970.4,0.05
193,-248.0,1,0,2768.0,0.1
194,-200.0,0,0,2293.0,0.1
195,9300.0,0,0,2533.0,0.1
196,-200.0,0,0,2453.0,0.1
197,9400.0,0,0,2933.0,0.1
