episode,total_reward,collision,success,steps
0,-200.0,0,0,100
1,-100.0,0,0,100
2,-200.0,0,0,100
3,-200.0,0,0,100
4,-100.0,0,0,100
5,-214.0,1,0,7
6,700.0,0,0,100
7,-232.0,1,0,16
8,-282.0,1,0,41
9,-200.0,0,0,100
10,-322.0,1,0,61
11,-100.0,0,0,100
12,-200.0,0,0,100
13,-202.0,1,0,1
14,-200.0,0,0,100
15,314.0,1,0,93
16,200.0,0,0,100
17,-208.0,1,0,4
18,-262.0,1,0,31
19,-70.0,1,0,35
20,-100.0,0,0,100
21,800.0,0,0,100
22,900.0,0,0,100
23,400.0,0,0,100
24,600.0,0,0,100
25,900.0,0,0,100
26,-200.0,0,0,100
27,900.0,0,0,100
28,-348.0,1,0,74
29,200.0,0,0,100
30,600.0,0,0,100
31,1100.0,0,0,100
32,-200.0,0,0,100
33,1400.0,0,0,100
34,324.0,0,1,38
35,-222.0,1,0,11
36,1500.0,0,0,100
37,-62.0,1,0,31
38,124.0,1,0,38
39,600.0,0,0,100
40,642.0,0,1,29
41,84.0,1,0,8
42,300.0,0,0,100
43,1200.0,0,0,100
44,3800.0,0,0,100
45,-22.0,1,0,11
46,1500.0,0,0,100
47,1700.0,0,0,100
48,1800.0,0,0,100
49,1400.0,0,0,100
50,350.0,0,1,25
51,1900.0,0,0,100
52,4000.0,0,0,100
53,4000.0,0,0,100
54,3600.0,0,0,100
55,700.0,0,0,100
56,4500.0,0,0,100
57,3500.0,0,0,100
58,828.0,0,1,36
59,2400.0,0,0,100
60,-206.0,1,0,3
61,190.0,0,1,5
62,5300.0,0,0,100
63,3300.0,0,0,100
64,2500.0,0,0,100
65,2100.0,0,0,100
66,4800.0,0,0,100
67,5200.0,0,0,100
68,184.0,0,1,8
69,750.0,0,1,25
70,6200.0,0,0,100
71,450.0,1,0,25
72,1706.0,0,1,47
73,4400.0,0,0,100
74,1316.0,0,1,42
75,3300.0,0,0,100
76,5600.0,0,0,100
77,1136.0,0,1,32
78,1130.0,0,1,35
79,666.0,0,1,17
80,6100.0,0,0,100
81,5700.0,0,0,100
82,7000.0,0,0,100
83,3300.0,0,0,100
84,472.0,0,1,14
85,2600.0,0,0,100
86,194.0,0,1,3
87,4100.0,0,0,100
88,746.0,0,1,27
89,4900.0,0,0,100
90,384.0,0,1,8
91,456.0,0,1,22
92,7100.0,0,0,100
93,1250.0,0,1,25
94,7300.0,0,0,100
95,-216.0,1,0,8
96,4200.0,0,0,100
97,174.0,0,1,13
98,6400.0,0,0,100
99,290.0,0,1,5
100,184.0,0,1,8
101,7200.0,0,0,100
102,5700.0,0,0,100
103,7500.0,0,0,100
104,-202.0,1,0,1
105,3400.0,0,0,100
106,4500.0,0,0,100
107,-202.0,1,0,1
108,420.0,1,0,40
109,8000.0,0,0,100
110,186.0,0,1,7
111,-206.0,1,0,3
112,662.0,0,1,19
113,830.0,1,0,35
114,280.0,0,1,10
115,946.0,0,1,27
116,178.0,0,1,11
117,7500.0,0,0,100
118,574.0,0,1,13
119,8100.0,0,0,100
120,-210.0,1,0,5
121,8300.0,0,0,100
122,286.0,0,1,7
123,194.0,0,1,3
124,8200.0,0,0,100
125,268.0,1,0,16
126,578.0,0,1,11
127,7900.0,0,0,100
128,-212.0,1,0,6
129,280.0,0,1,10
130,4000.0,0,0,100
131,-206.0,1,0,3
132,278.0,0,1,11
133,382.0,0,1,9
134,4200.0,0,0,100
135,766.0,0,1,17
136,-208.0,1,0,4
137,8800.0,0,0,100
138,9300.0,0,0,100
139,8800.0,0,0,100
140,4300.0,0,0,100
141,3800.0,0,0,100
142,486.0,0,1,7
143,958.0,0,1,21
144,282.0,0,1,9
145,4300.0,0,0,100
146,8800.0,0,0,100
147,8800.0,0,0,100
148,4500.0,0,0,100
149,292.0,0,1,4
150,380.0,0,1,10
151,8700.0,0,0,100
152,388.0,0,1,6
153,3550.0,0,1,75
154,9000.0,0,0,100
155,9500.0,0,0,100
156,9200.0,0,0,100
157,380.0,0,1,10
158,9400.0,0,0,100
159,3300.0,0,0,100
160,574.0,0,1,13
161,8600.0,0,0,100
162,7400.0,0,0,100
163,190.0,0,1,5
164,9500.0,0,0,100
165,482.0,0,1,9
166,276.0,0,1,12
167,2488.0,0,1,56
168,676.0,0,1,12
169,484.0,0,1,8
170,558.0,1,0,21
171,578.0,0,1,11
172,176.0,0,1,12
173,8900.0,0,0,100
174,8100.0,0,0,100
175,9500.0,0,0,100
176,384.0,0,1,8
177,9000.0,0,0,100
178,-208.0,1,0,4
179,4200.0,0,0,100
180,388.0,0,1,6
181,960.0,0,1,20
182,292.0,0,1,4
183,8900.0,0,0,100
184,8800.0,0,0,100
185,382.0,0,1,9
186,4300.0,0,0,100
187,376.0,0,1,12
188,576.0,0,1,12
189,8400.0,0,0,100
190,8200.0,0,0,100
191,1244.0,1,0,28
192,374.0,0,1,13
193,582.0,0,1,9
194,4400.0,0,0,100
195,286.0,0,1,7
196,8800.0,0,0,100
197,292.0,0,1,4
198,-212.0,1,0,6
199,9000.0,0,0,100
