episode,total_reward,collision,success,steps
0,-200.0,0,0,100
1,-100.0,0,0,100
2,-216.0,1,0,8
3,-200.0,0,0,100
4,-238.0,1,0,19
5,-200.0,0,0,100
6,1200.0,0,0,100
7,-208.0,1,0,4
8,700.0,0,0,100
9,-100.0,0,0,100
10,300.0,0,0,100
11,-64.0,1,0,32
12,400.0,0,0,100
13,100.0,0,0,100
14,-200.0,0,0,100
15,346.0,0,1,27
16,-100.0,0,0,100
17,-200.0,0,0,100
18,-200.0,0,0,100
19,300.0,0,0,100
20,-320.0,1,0,60
21,100.0,0,0,100
22,-200.0,0,0,100
23,-200.0,0,0,100
24,-200.0,0,0,100
25,1200.0,0,0,100
26,-100.0,0,0,100
27,-214.0,1,0,7
28,-244.0,1,0,22
29,1200.0,0,0,100
30,200.0,0,0,100
31,-324.0,1,0,62
32,800.0,0,0,100
33,400.0,0,0,100
34,100.0,0,0,100
35,-100.0,0,0,100
36,1600.0,0,0,100
37,700.0,0,0,100
38,1500.0,0,0,100
39,1600.0,0,0,100
40,1800.0,0,0,100
41,1200.0,0,0,100
42,212.0,1,0,44
43,2700.0,0,0,100
44,1500.0,0,0,100
45,950.0,0,1,75
46,498.0,1,0,51
47,2900.0,0,0,100
48,1000.0,0,0,100
49,928.0,0,1,36
50,100.0,0,0,100
51,852.0,0,1,74
52,3200.0,0,0,100
53,200.0,0,0,100
54,1300.0,0,0,100
55,2800.0,0,0,100
56,550.0,0,1,25
57,-362.0,1,0,81
58,500.0,0,0,100
59,1300.0,0,0,100
60,4100.0,0,0,100
61,-242.0,1,0,21
62,-250.0,1,0,25
63,1218.0,0,1,41
64,1594.0,0,1,53
65,4400.0,0,0,100
66,2000.0,0,0,100
67,2700.0,0,0,100
68,1400.0,0,0,100
69,3000.0,0,0,100
70,-200.0,0,0,100
71,470.0,0,1,15
72,3200.0,0,0,100
73,3500.0,0,0,100
74,3900.0,0,0,100
75,1400.0,0,0,100
76,3700.0,0,0,100
77,-364.0,1,0,82
78,2100.0,0,1,100
79,560.0,0,1,20
80,1300.0,0,0,100
81,6100.0,0,0,100
82,3300.0,0,0,100
83,-206.0,1,0,3
84,500.0,0,0,100
85,1800.0,0,0,100
86,3700.0,0,0,100
87,2000.0,0,0,100
88,2200.0,0,0,100
89,3100.0,0,0,100
90,3000.0,0,0,100
91,476.0,0,1,12
92,4000.0,0,0,100
93,3400.0,0,0,100
94,3000.0,0,0,100
95,7100.0,0,0,100
96,6900.0,0,0,100
97,4200.0,0,0,100
98,3700.0,0,0,100
99,6400.0,0,0,100
100,6800.0,0,0,100
101,-200.0,0,0,100
102,4100.0,0,0,100
103,4800.0,0,0,100
104,4500.0,0,0,100
105,286.0,0,1,7
106,1624.0,0,1,38
107,4000.0,0,0,100
108,188.0,0,1,6
109,470.0,0,1,15
110,-210.0,1,0,5
111,578.0,1,0,11
112,1200.0,0,0,100
113,9300.0,0,0,100
114,8700.0,0,0,100
115,4200.0,0,0,100
116,288.0,0,1,6
117,5800.0,0,0,100
118,8800.0,0,0,100
119,-10.0,1,0,5
120,4300.0,0,0,100
121,4400.0,0,0,100
122,4300.0,0,0,100
123,4600.0,0,0,100
124,278.0,1,0,11
125,8400.0,0,0,100
126,382.0,0,1,9
127,286.0,0,1,7
128,184.0,0,1,8
129,192.0,0,1,4
130,9100.0,0,0,100
131,3100.0,0,0,100
132,4800.0,0,0,100
133,4500.0,0,0,100
134,3800.0,0,0,100
135,8800.0,0,0,100
136,4400.0,0,0,100
137,2266.0,1,0,67
138,478.0,0,1,11
139,468.0,1,0,16
140,8400.0,0,0,100
141,-206.0,1,0,3
142,278.0,0,1,11
143,288.0,0,1,6
144,3300.0,0,0,100
145,4400.0,0,0,100
146,9000.0,0,0,100
147,478.0,0,1,11
148,8400.0,0,0,100
149,8200.0,0,0,100
150,8200.0,0,0,100
151,9500.0,0,0,100
152,8600.0,0,0,100
153,766.0,0,1,17
154,372.0,0,1,14
155,4500.0,0,0,100
156,572.0,0,1,14
157,8900.0,0,0,100
158,8500.0,0,0,100
159,4000.0,0,0,100
160,8300.0,0,0,100
161,4500.0,0,0,100
162,9100.0,0,0,100
163,198.0,0,1,1
164,9000.0,0,0,100
165,2008.0,1,0,46
166,1500.0,0,0,100
167,9000.0,0,0,100
168,5300.0,0,0,100
169,482.0,0,1,9
170,932.0,1,0,34
171,580.0,0,1,10
172,4500.0,0,0,100
173,4200.0,0,0,100
174,9000.0,0,0,100
175,3500.0,0,0,100
176,4400.0,0,0,100
177,86.0,1,0,7
178,8800.0,0,0,100
179,8900.0,0,0,100
180,-206.0,1,0,3
181,4200.0,0,0,100
182,9100.0,0,0,100
183,-200.0,0,0,100
184,484.0,0,1,8
185,4400.0,0,0,100
186,578.0,0,1,11
187,2800.0,0,0,100
188,676.0,0,1,12
189,7300.0,0,0,100
190,7200.0,0,0,100
191,8800.0,0,0,100
192,276.0,0,1,12
193,8800.0,0,0,100
194,474.0,0,1,13
195,8800.0,0,0,100
196,6100.0,0,0,100
197,8900.0,0,0,100
198,198.0,0,1,1
199,8700.0,0,0,100
