episode,total_reward,collision,success,rolling_reward,rolling_collision
172,-200.0,0,0,898.0,0.1
173,-202.0,1,0,877.9,0.15
174,-200.0,0,0,877.9,0.15
175,-200.0,0,0,877.9,0.15
176,-200.0,0,0,886.7,0.1
177,3400.0,0,0,1066.7,0.1
178,-200.0,0,0,1066.7,0.1
179,-200.0,0,0,1066.7,0.1
180,-200.0,0,0,1006.7,0.1
181,-200.0,0,0,686.7,0.1
182,0.0,0,0,691.7,0.1
183,-200.0,0,0,691.7,0.1
184,-200.0,0,0,371.7,0.1
185,876.0,0,1,275.5,0.1
186,-200.0,0,0,275.5,0.1
187,8700.0,0,0,480.5,0.1
188,-162.0,1,0,482.4,0.15
189,-200.0,0,0,490.6,0.1
190,4000.0,0,0,700.6,0.1
191,-200.0,0,0,700.6,0.1
192,5300.0,0,0,975.6,0.1
193,-200.0,0,0,975.7,0.05
194,-200.0,0,0,975.7,0.05
195,7400.0,0,0,1355.7,0.05
196,4100.0,0,0,1570.7,0.05
197,-200.0,0,0,1390.7,0.05
198,-200.0,0,0,1390.7,0.05
199,-200.0,0,0,1390.7,0.05
200,-200.0,0,0,1390.7,0.05
201,-200.0,0,0,1390.7,0.05
202,-100.0,0,0,1385.7,0.05
203,-200.0,0,0,1385.7,0.05
204,-200.0,0,0,1385.7,0.05
205,900.0,0,0,1386.9,0.05
206,200.0,0,0,1406.9,0.05
207,5000.0,0,0,1221.9,0.05
208,-200.0,0,0,1220.0,0.0
209,-200.0,0,0,1220.0,0.0
210,1800.0,0,0,1110.0,0.0
211,-200.0,0,0,1110.0,0.0
212,-200.0,0,0,835.0,0.0
213,-200.0,0,0,835.0,0.0
214,-200.0,0,0,835.0,0.0
215,-200.0,0,0,455.0,0.0
216,-200.0,0,0,240.0,0.0
217,3900.0,0,0,445.0,0.0
218,4400.0,0,0,675.0,0.0
219,-200.0,0,0,675.0,0.0
220,-200.0,0,0,675.0,0.0
221,-200.0,0,0,675.0,0.0
222,-200.0,0,0,670.0,0.0
223,-200.0,0,0,670.0,0.0
224,-200.0,0,0,670.0,0.0
225,-306.0,1,0,609.7,0.05
226,-200.0,0,0,589.7,0.05
227,2900.0,0,0,484.7,0.05
228,-200.0,0,0,484.7,0.05
229,-200.0,0,0,484.7,0.05
230,-200.0,0,0,384.7,0.05
231,-200.0,0,0,384.7,0.05
232,-200.0,0,0,384.7,0.05
233,-200.0,0,0,384.7,0.05
234,-200.0,0,0,384.7,0.05
235,-200.0,0,0,384.7,0.05
236,-200.0,0,0,384.7,0.05
237,3400.0,0,0,359.7,0.05
238,400.0,0,0,159.7,0.05
239,4000.0,0,0,369.7,0.05
240,1900.0,0,0,474.7,0.05
241,-100.0,0,0,479.7,0.05
242,-200.0,0,0,479.7,0.05
243,1900.0,0,0,584.7,0.05
244,-208.0,1,0,584.3,0.1
245,-200.0,0,0,589.6,0.05
246,1726.0,0,1,685.9,0.05
247,2200.0,0,0,650.9,0.05
248,8400.0,0,0,1080.9,0.05
249,-200.0,0,0,1080.9,0.05
250,-200.0,0,0,1080.9,0.05
251,2200.0,0,0,1200.9,0.05
252,-200.0,0,0,1200.9,0.05
253,-214.0,1,0,1200.2,0.1
254,-200.0,0,0,1200.2,0.1
255,7800.0,0,0,1600.2,0.1
256,-200.0,0,0,1600.2,0.1
257,-200.0,0,0,1420.2,0.1
258,-200.0,0,0,1390.2,0.1
259,5300.0,0,0,1455.2,0.1
260,-200.0,0,0,1350.2,0.1
261,-296.0,1,0,1340.4,0.15
262,9400.0,0,0,1820.4,0.15
263,-200.0,0,0,1715.4,0.15
264,-200.0,0,0,1715.8,0.1
265,-200.0,0,0,1715.8,0.1
266,1254.0,0,1,1692.2,0.1
267,-200.0,0,0,1572.2,0.1
268,-200.0,0,0,1142.2,0.1
269,-200.0,0,0,1142.2,0.1
270,-202.0,1,0,1142.1,0.15
271,-200.0,0,0,1022.1,0.15
272,-200.0,0,0,1022.1,0.15
273,-200.0,0,0,1022.8,0.1
274,-200.0,0,0,1022.8,0.1
275,-200.0,0,0,622.8,0.1
276,4668.0,0,1,866.2,0.1
277,4200.0,0,0,1086.2,0.1
278,5800.0,0,0,1386.2,0.1
279,-204.0,1,0,1111.0,0.15
280,2600.0,0,0,1251.0,0.15
281,1800.0,0,0,1355.8,0.1
282,-200.0,0,0,875.8,0.1
283,-200.0,0,0,875.8,0.1
284,-200.0,0,0,875.8,0.1
285,-200.0,0,0,875.8,0.1
286,2800.0,0,0,953.1,0.1
287,-200.0,0,0,953.1,0.1
288,1666.0,0,1,1046.4,0.1
289,1000.0,0,0,1106.4,0.1
290,-200.0,0,0,1106.5,0.05
291,3300.0,0,0,1281.5,0.05
292,-200.0,0,0,1281.5,0.05
293,-200.0,0,0,1281.5,0.05
294,1862.0,1,0,1384.6,0.1
295,-200.0,0,0,1384.6,0.1
296,7500.0,0,0,1526.2,0.1
297,-200.0,0,0,1306.2,0.1
298,2900.0,0,0,1161.2,0.1
299,-200.0,0,0,1161.4,0.05
